index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,mean_zone_temp,max_abs_pmv,peak_co2,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
537,2026-07-25T14:15:00,30.725,0.05,0.35963,280.5954,0.42,159.8,0.15105,76.1508,0.05749,68.1125,0,18.0,26.0,0,25.548,0.541,437.5,25.985,26.0,26.0,26.0,23.756,0.193,0.198,0.198,0.198,-0.541,437.5,437.5,437.5,437.5,437.5,baseline,
538,2026-07-25T14:30:00,30.85,0.05,0.47516,281.0706,0.42,161.3,0.19957,76.3503,0.07664,68.1892,0,18.0,26.0,0,25.558,0.53,437.5,26.0,26.0,26.0,26.0,23.791,0.198,0.198,0.198,0.198,-0.53,437.5,437.5,437.5,437.5,437.5,baseline,
539,2026-07-25T14:45:00,30.975,0.05,0.48507,281.5557,0.42,162.9,0.20373,76.5541,0.07903,68.2682,0,18.0,26.0,0,25.565,0.518,437.5,26.0,26.0,26.0,26.0,23.827,0.198,0.198,0.198,0.198,-0.518,437.5,437.5,437.5,437.5,437.5,baseline,
540,2026-07-25T14:00:00,31.1,0.05,0.4787,282.0344,0.42,158.6,0.20105,76.7551,0.07591,68.3441,0,18.0,26.0,0,25.573,0.506,437.5,26.0,26.0,26.0,26.0,23.863,0.198,0.198,0.198,0.198,-0.506,437.5,437.5,437.5,437.5,437.5,baseline,
541,2026-07-25T15:15:00,30.125,0.05,0.46413,282.4985,0.42,166.7,0.19493,76.95,0.07737,68.4215,0,18.0,26.0,0,25.579,0.496,437.5,26.0,26.0,26.0,26.0,23.893,0.198,0.198,0.198,0.198,-0.496,437.5,437.5,437.5,437.5,437.5,baseline,
542,2026-07-25T15:30:00,29.15,0.05,0.33824,282.8367,0.42,168.8,0.14206,77.0921,0.05711,68.4786,0,18.0,26.0,0,25.577,0.489,437.5,25.969,26.0,26.0,26.0,23.915,0.188,0.198,0.198,0.198,-0.489,437.5,437.5,437.5,437.5,437.5,baseline,
543,2026-07-25T15:45:00,28.175,0.05,0.21536,283.0521,0.42,171.1,0.09045,77.1825,0.03685,68.5154,0,18.0,26.0,0,25.546,0.486,437.5,25.836,26.0,25.966,26.0,23.926,0.144,0.198,0.187,0.198,-0.486,437.5,437.5,437.5,437.5,437.5,baseline,
544,2026-07-25T15:00:00,27.2,0.05,0.11061,283.1627,0.42,164.7,0.04646,77.229,0.01822,68.5337,0,18.0,26.0,0,25.482,0.486,437.5,25.669,25.95,25.865,26.0,23.925,0.088,0.182,0.154,0.198,-0.486,437.5,437.5,437.5,437.5,437.5,baseline,
545,2026-07-25T16:15:00,26.925,0.05,0.10816,283.2709,0.42,496.1,0.04543,77.2744,0.05366,68.5873,0,18.0,26.0,0,25.399,0.49,437.5,25.51,25.842,25.728,26.0,23.914,0.036,0.146,0.108,0.198,-0.49,437.5,437.5,437.5,437.5,437.5,baseline,
546,2026-07-25T16:30:00,26.65,0.05,0.10806,283.3789,0.42,498.8,0.04538,77.3198,0.05389,68.6412,0,18.0,26.0,0,25.318,0.495,437.5,25.384,25.716,25.593,26.0,23.897,-0.006,0.104,0.063,0.198,-0.495,437.5,437.5,437.5,437.5,437.5,baseline,
547,2026-07-25T16:45:00,26.375,0.05,0.10761,283.4865,0.42,501.5,0.0452,77.365,0.05397,68.6952,0,18.0,26.0,0,25.244,0.502,437.5,25.277,25.594,25.472,26.0,23.876,-0.041,0.064,0.023,0.198,-0.502,437.5,437.5,437.5,437.5,437.5,baseline,
