index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,mean_zone_temp,max_abs_pmv,peak_co2,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
301,2026-07-23T03:15:00,24.025,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.84,1.254,420.0,21.913,21.887,21.878,21.893,21.628,-1.155,-1.164,-1.168,-1.162,-1.254,420.0,420.0,420.0,420.0,420.0,held,
302,2026-07-23T03:30:00,24.15,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.811,1.263,420.0,21.884,21.857,21.848,21.862,21.602,-1.165,-1.175,-1.178,-1.173,-1.263,420.0,420.0,420.0,420.0,420.0,llm,15.56
303,2026-07-23T03:45:00,24.275,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.787,1.271,420.0,21.863,21.832,21.826,21.836,21.577,-1.173,-1.183,-1.186,-1.182,-1.271,420.0,420.0,420.0,420.0,420.0,held,
304,2026-07-23T03:00:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.767,1.279,420.0,21.845,21.811,21.807,21.815,21.554,-1.179,-1.191,-1.192,-1.189,-1.279,420.0,420.0,420.0,420.0,420.0,held,
305,2026-07-23T04:15:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.749,1.287,420.0,21.831,21.793,21.792,21.796,21.532,-1.184,-1.197,-1.197,-1.196,-1.287,420.0,420.0,420.0,420.0,420.0,held,
306,2026-07-23T04:30:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.732,1.294,420.0,21.816,21.775,21.777,21.778,21.512,-1.189,-1.203,-1.203,-1.202,-1.294,420.0,420.0,420.0,420.0,420.0,llm,15.03
307,2026-07-23T04:45:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.714,1.3,420.0,21.801,21.757,21.76,21.759,21.493,-1.194,-1.209,-1.208,-1.209,-1.3,420.0,420.0,420.0,420.0,420.0,held,
308,2026-07-23T04:00:00,24.4,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.697,1.306,420.0,21.786,21.74,21.744,21.742,21.476,-1.199,-1.215,-1.214,-1.215,-1.306,420.0,420.0,420.0,420.0,420.0,held,
309,2026-07-23T05:15:00,24.55,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.682,1.312,420.0,21.772,21.724,21.729,21.725,21.459,-1.204,-1.221,-1.219,-1.22,-1.312,420.0,420.0,420.0,420.0,420.0,held,
310,2026-07-23T05:30:00,24.7,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.671,1.317,420.0,21.763,21.714,21.722,21.715,21.443,-1.207,-1.224,-1.222,-1.224,-1.317,420.0,420.0,420.0,420.0,420.0,llm,15.22
311,2026-07-23T05:45:00,24.85,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.667,1.322,420.0,21.761,21.71,21.721,21.711,21.429,-1.208,-1.226,-1.222,-1.225,-1.322,420.0,420.0,420.0,420.0,420.0,held,
312,2026-07-23T05:00:00,25.0,0.0,0.0,158.4722,0.09,210.0,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.665,1.327,420.0,21.763,21.71,21.726,21.711,21.415,-1.207,-1.226,-1.22,-1.225,-1.327,420.0,420.0,420.0,420.0,420.0,held,
313,2026-07-23T06:15:00,25.275,0.0,0.0,158.4722,0.09,206.7,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.706,1.331,420.0,21.783,21.784,21.822,21.738,21.404,-1.2,-1.2,-1.187,-1.216,-1.331,420.0,420.0,420.0,420.0,420.0,held,
314,2026-07-23T06:30:00,25.55,0.0,0.0,158.4722,0.09,203.4,0.0,44.8578,0.0,40.983,0,18.0,27.3,0,21.766,1.333,420.0,21.819,21.883,21.944,21.788,21.397,-1.188,-1.166,-1.145,-1.199,-1.333,420.0,420.0,420.0,420.0,420.0,llm,13.91
