index,time,outdoor_temp,occupancy,step_kwh,cumulative_kwh,price,carbon,step_cost,cumulative_cost,step_co2_kg,cumulative_co2_kg,comfort_violations,heating_setpoint,cooling_setpoint,economizer,light_level,plug_level,vent_level,mean_zone_temp,max_abs_pmv,peak_co2,step_kwh_hvac,step_kwh_lights,step_kwh_plugs,cumulative_kwh_hvac,cumulative_kwh_lights,cumulative_kwh_plugs,temp_SPACE1-1,temp_SPACE2-1,temp_SPACE3-1,temp_SPACE4-1,temp_SPACE5-1,pmv_SPACE1-1,pmv_SPACE2-1,pmv_SPACE3-1,pmv_SPACE4-1,pmv_SPACE5-1,co2_SPACE1-1,co2_SPACE2-1,co2_SPACE3-1,co2_SPACE4-1,co2_SPACE5-1,source,latency_s
80,2026-07-20T19:00:00,29.4,0.0,0.13125,157.5009,0.16,530.0,0.021,42.7146,0.06956,38.5296,0,18.0,28.0,0,0.05,0.3,0.15,24.864,0.49,420.0,0.0,0.01875,0.1125,51.5659,68.5875,37.3475,24.785,24.636,24.653,26.334,23.913,-0.204,-0.253,-0.247,0.31,-0.49,420.0,420.0,420.0,420.0,420.0,held,
81,2026-07-20T20:15:00,29.275,0.0,0.13125,157.6322,0.16,530.0,0.021,42.7356,0.06956,38.5991,0,18.0,28.0,0,0.05,0.3,0.15,24.694,0.549,420.0,0.0,0.01875,0.1125,51.5659,68.6062,37.46,24.641,24.488,24.506,26.104,23.731,-0.251,-0.301,-0.295,0.233,-0.549,420.0,420.0,420.0,420.0,420.0,held,
82,2026-07-20T20:38:00,29.15,0.0,0.02625,157.6584,0.16,530.0,0.0042,42.7398,0.01391,38.613,0,18.0,28.0,0,0.05,0.3,0.15,24.486,0.613,420.0,0.0,0.01875,0.0075,51.5659,68.625,37.4675,24.456,24.31,24.323,25.804,23.537,-0.312,-0.36,-0.355,0.133,-0.613,420.0,420.0,420.0,420.0,420.0,llm,17.21
83,2026-07-20T20:53:00,29.025,0.0,0.02625,157.6847,0.16,530.0,0.0042,42.744,0.01391,38.627,0,18.0,28.0,0,0.05,0.3,0.15,24.262,0.681,420.0,0.0,0.01875,0.0075,51.5659,68.6437,37.475,24.259,24.126,24.131,25.467,23.329,-0.377,-0.42,-0.419,0.022,-0.681,420.0,420.0,420.0,420.0,420.0,held,
84,2026-07-20T20:00:00,28.9,0.0,0.02625,157.7109,0.16,530.0,0.0042,42.7482,0.01391,38.6409,0,18.0,28.0,0,0.05,0.3,0.15,24.078,0.733,420.0,0.0,0.01875,0.0075,51.5659,68.6625,37.4825,24.098,23.976,23.975,25.171,23.168,-0.429,-0.469,-0.47,-0.076,-0.733,420.0,420.0,420.0,420.0,420.0,held,
85,2026-07-20T21:15:00,28.75,0.0,0.02625,157.7372,0.16,210.0,0.0042,42.7524,0.00551,38.6464,0,18.0,28.0,0,0.05,0.3,0.15,23.926,0.772,420.0,0.0,0.01875,0.0075,51.5659,68.6812,37.49,23.965,23.851,23.849,24.915,23.049,-0.473,-0.51,-0.511,-0.161,-0.772,420.0,420.0,420.0,420.0,420.0,held,
86,2026-07-20T21:30:00,28.6,0.0,0.01219,157.7493,0.16,210.0,0.00195,42.7543,0.00256,38.6489,0,18.0,28.0,0,0.05,0.3,0.15,23.784,0.806,420.0,0.0,0.00469,0.0075,51.5659,68.6859,37.4975,23.839,23.731,23.729,24.675,22.944,-0.514,-0.549,-0.55,-0.24,-0.806,420.0,420.0,420.0,420.0,420.0,llm,16.77
87,2026-07-20T21:45:00,28.45,0.0,0.01219,157.7615,0.16,210.0,0.00195,42.7563,0.00256,38.6515,0,18.0,28.0,0,0.05,0.3,0.15,23.648,0.838,420.0,0.0,0.00469,0.0075,51.5659,68.6906,37.505,23.718,23.615,23.612,24.449,22.845,-0.554,-0.587,-0.588,-0.314,-0.838,420.0,420.0,420.0,420.0,420.0,held,
88,2026-07-20T21:00:00,28.3,0.0,0.01219,157.7737,0.16,210.0,0.00195,42.7582,0.00256,38.6541,0,18.0,28.0,0,0.05,0.3,0.15,23.519,0.868,420.0,0.0,0.00469,0.0075,51.5659,68.6953,37.5125,23.602,23.505,23.501,24.238,22.751,-0.592,-0.623,-0.624,-0.383,-0.868,420.0,420.0,420.0,420.0,420.0,held,
89,2026-07-20T22:15:00,28.45,0.0,0.01219,157.7859,0.09,210.0,0.0011,42.7593,0.00256,38.6566,0,18.0,28.0,0,0.05,0.3,0.15,23.4,0.897,420.0,0.0,0.00469,0.0075,51.5659,68.7,37.52,23.494,23.402,23.397,24.044,22.664,-0.627,-0.657,-0.658,-0.447,-0.897,420.0,420.0,420.0,420.0,420.0,held,
90,2026-07-20T22:30:00,28.6,0.0,0.01219,157.7981,0.09,210.0,0.0011,42.7604,0.00256,38.6592,0,18.0,28.0,0,0.05,0.3,0.15,23.296,0.924,420.0,0.0,0.00469,0.0075,51.5659,68.7047,37.5275,23.401,23.313,23.309,23.874,22.584,-0.657,-0.686,-0.687,-0.503,-0.924,420.0,420.0,420.0,420.0,420.0,llm,16.82
91,2026-07-20T22:45:00,28.75,0.0,0.01219,157.8103,0.09,210.0,0.0011,42.7615,0.00256,38.6617,0,18.0,28.0,0,0.05,0.3,0.15,23.206,0.95,420.0,0.0,0.00469,0.0075,51.5659,68.7094,37.535,23.324,23.236,23.236,23.726,22.509,-0.682,-0.711,-0.711,-0.551,-0.95,420.0,420.0,420.0,420.0,420.0,held,
92,2026-07-20T22:00:00,28.9,0.0,0.01219,157.8225,0.09,210.0,0.0011,42.7626,0.00256,38.6643,0,18.0,28.0,0,0.05,0.3,0.15,23.127,0.974,420.0,0.0,0.00469,0.0075,51.5659,68.7141,37.5425,23.257,23.168,23.173,23.596,22.438,-0.704,-0.733,-0.731,-0.594,-0.974,420.0,420.0,420.0,420.0,420.0,held,
93,2026-07-20T23:15:00,28.9,0.0,0.01219,157.8347,0.09,210.0,0.0011,42.7637,0.00256,38.6669,0,18.0,28.0,0,0.05,0.3,0.15,23.056,0.997,420.0,0.0,0.00469,0.0075,51.5659,68.7188,37.55,23.199,23.108,23.118,23.48,22.373,-0.723,-0.753,-0.749,-0.631,-0.997,420.0,420.0,420.0,420.0,420.0,held,
94,2026-07-20T23:30:00,28.9,0.0,0.01219,157.8468,0.09,210.0,0.0011,42.7648,0.00256,38.6694,0,18.0,28.0,0,0.05,0.3,0.15,22.988,1.018,420.0,0.0,0.00469,0.0075,51.5659,68.7234,37.5575,23.141,23.049,23.063,23.373,22.312,-0.742,-0.772,-0.767,-0.666,-1.018,420.0,420.0,420.0,420.0,420.0,llm,17.07
95,2026-07-20T23:45:00,28.9,0.0,0.01219,157.859,0.09,210.0,0.0011,42.7659,0.00256,38.672,0,18.0,28.0,0,0.05,0.3,0.15,22.922,1.038,420.0,0.0,0.00469,0.0075,51.5659,68.7281,37.565,23.084,22.991,23.007,23.273,22.255,-0.76,-0.791,-0.785,-0.699,-1.038,420.0,420.0,420.0,420.0,420.0,held,
96,2026-07-20T23:00:00,28.9,0.0,0.01219,157.8712,0.09,210.0,0.0011,42.767,0.00256,38.6745,0,18.0,28.0,0,0.05,0.3,0.15,22.86,1.056,420.0,0.0,0.00469,0.0075,51.5659,68.7328,37.5725,23.029,22.936,22.953,23.181,22.202,-0.778,-0.809,-0.803,-0.729,-1.056,420.0,420.0,420.0,420.0,420.0,held,
